,a,b,a_count,b_count,ab_count,pmi
7591,kiwi,pineapple,121,1886,31,2.7022913999997336
4028,chicory,smoke,81,455,5,2.7009995431154423
23799,lime_peel_oil,mango,105,352,5,2.698154590983211
52670,fenugreek,peanut_oil,769,125,13,2.697852854958323
36505,smoked_salmon,tarragon,107,415,6,2.6969603188401816
37415,beef,bone_oil,5925,10,8,2.6962286869871894
30333,sage,savory,1147,155,24,2.6960318006040596
18345,cod,fish,156,1045,22,2.6957224860145987
7389,juniper_berry,thyme,19,3523,9,2.6920256241332727
23812,leek,shiitake,357,125,6,2.692018154450846
13700,brassica,grape_juice,53,844,6,2.689623265384707
17990,marjoram,white_bread,703,435,41,2.68917734810969
7637,beet,horseradish,177,464,11,2.6881691923030173
16872,celery,marjoram,4391,703,413,2.6870866348933817
42922,turkey,wheat_bread,1050,114,16,2.6861530349984477
38151,apple,grape,2522,380,128,2.685359698979052
36539,artichoke,romano_cheese,414,308,17,2.6835557915620583
46725,provolone_cheese,romano_cheese,196,308,8,2.6775353037804757
8001,hazelnut,shiitake,302,125,5,2.677005362061661
38396,kale,smoke,100,455,6,2.672600068593744
33963,cashew,mandarin,204,335,9,2.6712822559716676
1611,pea,saffron,1196,127,20,2.6711154568895537
26004,fenugreek,lentil,769,247,25,2.670704723039311
32528,cereal,oat,296,1593,62,2.669708825115714
16091,potato,rutabaga,4214,40,22,2.6623036091849763
33129,orange_juice,watermelon,1806,102,24,2.660519487391475
47032,roasted_sesame_seed,soybean,119,452,7,2.659412680416284
53231,cardamom,lamb,269,343,12,2.6587730273249526
14822,lemongrass,shrimp,44,1051,6,2.6563806687375737
23313,feta_cheese,mint,659,749,64,2.6557287696446763
21145,coconut,thai_pepper,1618,43,9,2.6533865683289513
39387,goat_cheese,grape_juice,266,844,29,2.651955230913549
47778,peanut_oil,turmeric,125,930,15,2.6508600819573385
3749,gruyere_cheese,nutmeg,39,2784,14,2.650159866336033
31521,pork,veal,1731,121,27,2.64989996953611
19566,bay,smoked_sausage,1319,336,57,2.6476191594587624
35949,endive,fennel,81,866,9,2.6451987184060766
47376,feta_cheese,lamb,659,343,29,2.6451500526227583
11717,gelatin,strawberry,1689,1251,269,2.637429156631859
29054,malt,vinegar,40,5695,29,2.6373807042959863
5639,orange_peel,yam,562,70,5,2.6357490247957815
26813,blue_cheese,pear,423,374,20,2.6304125013979123
25700,avocado,watercress,800,89,9,2.6302846842408836
36404,grape,yogurt,380,1129,54,2.626033433998912
43724,cabbage,caraway,887,215,24,2.6258790242154344
37229,cod,leek,156,357,7,2.6246265643308684
46810,sesame_seed,soy_sauce,510,1794,115,2.624626564330868
52373,cinnamon,pumpkin,5935,759,566,2.6242781980685157
16478,pork,sauerkraut,1731,230,50,2.6237973456334727
19185,peanut_oil,sesame_seed,125,510,8,2.6230252829638947
38461,cereal,peanut_butter,296,1050,39,2.622964952958748
24681,herring,vinegar,7,5695,5,2.622492091802236
1730,grapefruit,lime_juice,110,1451,20,2.621551859182118
2371,almond,sour_cherry,2360,44,13,2.620651029828351
10053,beef_broth,porcini,656,61,5,2.6187114636214313
38174,fig,pear,107,374,5,2.6186614848623933
44882,sauerkraut,smoke,230,455,13,2.612880833892122
44232,melon,yogurt,164,1129,23,2.6128484282600204
26446,cacao,cherry,37,1088,5,2.6127317766787193
23093,lime_juice,watercress,1451,89,16,2.610252303928185
22703,peanut_oil,soybean,125,452,7,2.610222436225512
52761,scallion,sesame_oil,3333,356,147,2.6101819819236973
51287,asparagus,smoked_salmon,453,107,6,2.609346713587846
13179,tabasco_pepper,tamarind,1229,1888,287,2.6085609637928715
16773,mushroom,shiitake,4205,125,65,2.6083521644910186
30408,feta_cheese,olive,659,2001,163,2.607932536025253
48829,papaya,yogurt,43,1129,6,2.6077799936895616
19559,chive,mustard,1343,4012,665,2.6063888993555215
35106,cured_pork,shiitake,325,125,5,2.603607197106793
10568,sweet_potato,turnip,561,174,12,2.602438649355506
46830,parsnip,sweet_potato,131,561,9,2.5986145529171027
37047,cane_molasses,tamarind,8088,1888,1870,2.59859180674761
5363,black_bean,corn_grit,527,171,11,2.5953393720590796
43618,shallot,smoked_salmon,616,107,8,2.589673947989141
29736,basil,mozzarella_cheese,4637,1935,1089,2.5896378373823485
21879,cilantro,palm,1981,25,6,2.5878348019660344
16518,grape,orange,380,1630,75,2.5872897713198024
48772,brown_rice,lentil,435,247,13,2.5865231940496067
23638,lentil,smoked_sausage,247,336,10,2.5823938007075955
36040,beet,grape_juice,177,844,18,2.58237773503111
40617,coriander,peanut_oil,1129,125,17,2.582120246908984
39945,cashew,soy_sauce,204,1794,44,2.5801748017600343
29539,ginger,soy_sauce,2613,1794,563,2.5791305243050675
52706,anise,oyster,227,184,5,2.575860341648443
27181,kiwi,raspberry,121,830,12,2.5739986077053465
